election_year,state,pc_number,pc_name,pc_type,winner_candidate,winner_candidate_gender,winner_party,winner_party_votes,runner_up_candidate,runner_up_candidate_gender,runner_up_party,runner_up_party_votes
2014,Madhya Pradesh,8,Khajuraho,GEN,Nagendra Singh,,BJP,474966,Raja Pateria,,INC,227476
2014,Madhya Pradesh,9,Satna,GEN,Ganesh Singh,,BJP,375288,Ajay Singh Rahul Bhaiyya,,INC,366600
2014,Madhya Pradesh,10,Rewa,GEN,Janardan Mishra,,BJP,383320,Sunderlal Tiwari,,INC,214594
2014,Madhya Pradesh,11,Sidhi,GEN,Riti Pathak,,BJP,475678,Indrajeet Kumar,,INC,367632
2014,Madhya Pradesh,12,Shahdol,(ST),Dalpat Singh Paraste,,BJP,525419,Rajesh Nandini Singh,,INC,284118
2014,Madhya Pradesh,13,Jabalpur,GEN,Rakesh Singh,,BJP,564609,Vivek Krishna Tankha,,INC,355970
2014,Madhya Pradesh,14,Mandla,(ST),Faggan Singh Kulaste,,BJP,585720,Omkar Singh Markam,,INC,475251
2014,Madhya Pradesh,15,Balaghat,GEN,Bodhsingh Bhagat,,BJP,480594,Hina Likhiram Kawre,,INC,384553
2014,Madhya Pradesh,16,Chhindwara,GEN,Kamal Nath,,INC,559755,Choudhary Chandrabhan Kuber Singh,,BJP,443218
2014,Madhya Pradesh,17,Hoshangabad,GEN,Uday Pratap Singh,,BJP,669128,Devendra Patel (Guddu Bhaiya),,INC,279168
2014,Madhya Pradesh,18,Vidisha,GEN,Sushma Swaraj,,BJP,714348,Lakshman Singh,,INC,303650
2014,Madhya Pradesh,19,Bhopal,GEN,Alok Sanjar,,BJP,714178,P C Sharma (Prakash Mangilal Sharma ),,INC,343482
2014,Madhya Pradesh,20,Rajgarh,GEN,Rodmal Nagar,,BJP,596727,Amlabe Narayan Singh,,INC,367990
2014,Madhya Pradesh,21,Dewas,(SC),Manohar Untwal,,BJP,665646,Sajjan Singh Verma,,INC,405333
2014,Madhya Pradesh,22,Ujjain,(SC),Prof. Chintamani Malviya,,BJP,641101,Premchand Guddu,,INC,331438
2014,Madhya Pradesh,23,Mandsaur,GEN,Sudhir Gupta,,BJP,698335,Meenakshi Natarajan,,INC,394686
2014,Madhya Pradesh,24,Ratlam,(ST),Dileepsingh Bhuria,,BJP,545970,Kantilal Bhuria,,INC,437523
2014,Madhya Pradesh,25,Dhar,(ST),Savitri Thakur,,BJP,558387,Umang Singhar,,INC,454059
2014,Madhya Pradesh,26,Indore,GEN,Sumitra Mahajan (Tai),,BJP,854972,Satyanarayan Patel,,INC,388071
2014,Madhya Pradesh,27,Khargone,(ST),Subhash Patel,,BJP,649354,Ramesh Patel,,INC,391475
2014,Madhya Pradesh,28,Khandwa,GEN,Nandkumar Singh Chouhan (Nandu Bhaiya),,BJP,717357,Arun Subhash Chandra Yadav,,INC,457643
2014,Madhya Pradesh,29,Betul,(ST),Jyoti Dhurve,,BJP,643651,Ajay Shah (Makrai),,INC,315037
2014,Maharashtra,1,Nandurbar,(ST),Dr.Gavit Heena Vaijaykumar,,BJP,579486,Gavit Manikrao Hodlya,,INC,472581
2014,Maharashtra,2,Dhule,GEN,Dr. Bhamre Subhash Ramrao,,BJP,529450,Amrishbhai Rasiklal Patel,,INC,398727
2014,Maharashtra,3,Jalgaon,GEN,A.T. Nana Patil,,BJP,647773,Annasaheb Dr.Satish Bhaskarrao Patil,,NCP,264248
2014,Maharashtra,4,Raver,GEN,Khadase Raksha Nikhil,,BJP,605452,Manishdada Jain,,NCP,287384
2014,Maharashtra,5,Buldhana,GEN,Jadhav Prataprao Ganpatrao,,SHS,509145,Ingle Krushanarao Ganpatrao,,NCP,349566
2014,Maharashtra,6,Akola,GEN,Dhotre Sanjay Shamrao,,BJP,456472,Patel Hidayat Ulla Barkat Ulla,,INC,253356
2014,Maharashtra,7,Amravati,(SC),Adsul Anandrao Vithoba,,SHS,467212,Navneet Ravi Rana,,NCP,329280
2014,Maharashtra,8,Wardha,GEN,Ramdas Chandrabhanji Tadas,,BJP,537518,Meghe Sagar Dattatraya,,INC,321735
2014,Maharashtra,9,Ramtek,(SC),Krupal Balaji Tumane,,SHS,519892,Mukul Wasnik,,INC,344101
2014,Maharashtra,10,Nagpur,GEN,Gadkari Nitin Jairam,,BJP,587767,Vilas Muttemwar,,INC,302939
2014,Maharashtra,11,Bhandara-Gondiya,GEN,Nanabhau Falgunrao Patole,,BJP,606129,Patel Praful Manoharbhai,,NCP,456875
2014,Maharashtra,12,Gadchiroli-Chimur,(ST),Ashok Mahadeorao Nete,,BJP,535982,Dr. Namdeo Dalluji Usendi,,INC,299112
2014,Maharashtra,13,Chandrapur,GEN,Ahir Hansraj Gangaram,,BJP,508049,Deotale Sanjay Wamanrao,,INC,271780
2014,Maharashtra,14,Yavatmal-Washim,GEN,Gawali Bhavana Pundlikrao,,SHS,477905,Adv.Shivajirao Shivaramji Moghe,,INC,384089
2014,Maharashtra,15,Hingoli,GEN,Rajeev Shankarrao Satav,,INC,467397,Wankhede Subhash Bapurao,,SHS,465765
2014,Maharashtra,16,Nanded,GEN,Ashok Shankarrao Chavan,,INC,493075,D. B. Patil,,BJP,411620
2014,Maharashtra,17,Parbhani,GEN,Jadhav Sanjay (Bandu) Haribhau,,SHS,578455,Bhambale Vijay Manikrao,,NCP,451300
2014,Maharashtra,18,Jalna,GEN,Danve Raosaheb Dadarao,,BJP,591428,Autade Vilas Keshavrao,,INC,384630
2014,Maharashtra,19,Aurangabad,GEN,Chandrakant Bhaurao Khaire,,SHS,520902,Patil Nitin Suresh,,INC,358902
2014,Maharashtra,20,Dindori,(ST),Chavan Harishchandra Deoram,,BJP,542784,Dr. Bharati Pravin Pawar,,NCP,295165
2014,Maharashtra,21,Nashik,GEN,Godse Hemant Tukaram,,SHS,494735,Chhagan Bhujbal,,NCP,307399
2014,Maharashtra,22,Palghar,(ST),Adv. Chintaman Navasha Wanga,,BJP,533201,Baliram Sukur Jadhav,,BVA,293681
2014,Maharashtra,23,Bhiwandi,GEN,Kapil Moreshwar Patil,,BJP,411070,Patil Vishwanath Ramchandra,,INC,301620
2014,Maharashtra,24,Kalyan,GEN,Dr.Shrikant Eknath Shinde,,SHS,440892,Anand Prakash Paranjpe,,NCP,190143
2014,Maharashtra,25,Thane,GEN,Vichare Rajan Baburao,,SHS,595364,Sanjeev Ganesh Naik,,NCP,314065
2014,Maharashtra,26,Mumbai-North,GEN,Gopal Chinayya Shetty,,BJP,664004,Sanjay Brijkishorlal Nirupam,,INC,217422
2014,Maharashtra,27,Mumbai-North-West,GEN,Gajanan Chandrakant Kirtikar,,SHS,464820,Kamat Gurudas Vasant,,INC,281792
2014,Maharashtra,28,Mumbai-North-East,GEN,Kirit Somaiya,,BJP,525285,Sanjay Dina Patil,,NCP,208163
2014,Maharashtra,29,Mumbai-North-Central,GEN,Poonam Mahajan Alias Poonam Vajendla Rao,,BJP,478535,Dutt Priya Sunil,,INC,291764
2014,Maharashtra,30,Mumbai-South-Central,GEN,Rahul Ramesh Shewale,,SHS,381275,Eknath M. Gaikwad,,INC,242933
2014,Maharashtra,31,Mumbai-South,GEN,Arvind Sawant,,SHS,374780,Deora Milind Murli,,INC,246632
2014,Maharashtra,32,Raigad,GEN,Anant Geete,,SHS,396178,Tatkare Sunil Dattatrey,,NCP,394068
2014,Maharashtra,33,Maval,GEN,Appa Alias Shrirang Chandu Barne,,SHS,512226,Jagtap Laxmanbhau Pandurang,,PWPI,354829
2014,Maharashtra,34,Pune,GEN,Anil Shirole,,BJP,569825,Dr.Vishwajeet Patangrao Kadam,,INC,254056
2014,Maharashtra,35,Baramati,GEN,Supriya Sule,,NCP,521562,Mahadev Jagannath Jankar,,RSP,451843
2014,Maharashtra,36,Shirur,GEN,Adhalrao Shivaji Dattatrey,,SHS,643415,Nikam Devdatta Jaywant,,NCP,341601
2014,Maharashtra,37,Ahmednagar,GEN,Gandhi Dilipkumar Mansukhlal,,BJP,605185,Rajeev Appasaheb Rajale,,NCP,396063
2014,Maharashtra,38,Shirdi,(SC),Lokhande Sadashiv Kisan,,SHS,532936,Bhausaheb Rajaram Wakchaure,,INC,333014
2014,Maharashtra,39,Beed,GEN,Pritam Munde,,BJP,922416,Ashokrao Shankarrao Patil,,INC,226095
2014,Maharashtra,40,Osmanabad,GEN,Gaikwad Ravindra Vishwanath,,SHS,607699,Patil Padmasinha Bajirao,,NCP,373374
2014,Maharashtra,41,Latur,(SC),Dr. Sunil Baliram Gaikwad,,BJP,616509,Bansode Dattatray Gunderao,,INC,363114
2014,Maharashtra,42,Solapur,(SC),Sharad Bansode,,BJP,517879,Shinde Sushilkumar Sambhajirao,,INC,368205
2014,Maharashtra,43,Madha,GEN,Mohite Patil Vijaysinh Shankarrao,,NCP,489989,Sadabhau Ramchandra Khot,,SWP,464645
2014,Maharashtra,44,Sangli,GEN,Sanjaykaka Patil,,BJP,611563,Patil Pratik Prakashbapu,,INC,372271
2014,Maharashtra,45,Satara,GEN,Shrimant Chh. Udayanraje Pratapsinha Bhonsale,,NCP,522531,Purushottam Jadhav,,IND,155937
2014,Maharashtra,46,Ratnagiri-Sindhudurg,GEN,Vinayak Bhaurao Raut,,SHS,493088,Nilesh Narayan Rane,,INC,343037
2014,Maharashtra,47,Kolhapur,GEN,Dhananjay Bhimrao Mahadik,,NCP,607665,Sanjay Sadashiv Mandalik,,SHS,574406
2014,Maharashtra,48,Hatkanangle,GEN,Raju Shetty,,SWP,640428,Awade Kallappa Baburao,,INC,462618
2014,Manipur,1,Inner Manipur,GEN,Dr. Thokchom Meinya,,INC,292102,Moirangthem Nara,,CPI,197428
2014,Manipur,2,Outer Manipur,(ST),Thangso Baite,,INC,296770,Soso Lorho,,NPF,281133
2014,Meghalaya,1,Shillong,(ST),Vincent H. Pala,,INC,209340,Prechard B. M. Basaiawmoit,,IND,168961
2014,Meghalaya,2,Tura,(ST),Purno Agitok Sangma,,NPP,239301,Daryl William Ch Momin,,INC,199585
2014,Mizoram,1,Mizoram,(ST),C. L. Ruala,,INC,210485,Robert Romawia Royte,,IND,204331
2014,Nagaland,1,Nagaland,(ST),Neiphiu Rio,,NPF,713372,K. V. Pusa,,INC,313147
2014,Odisha,1,Bargarh,GEN,Prabhas Kumar Singh,,BJD,383230,Subash Chouhan,,BJP,372052
2014,Odisha,2,Sundargarh,(ST),Jual (Juel Oram),,BJP,340508,Dilip Kumar Tirkey,,BJD,321679
2014,Odisha,3,Sambalpur,GEN,Nagendra Kumar Pradhan,,BJD,358618,Suresh Pujari,,BJP,328042
2014,Odisha,4,Keonjhar,(ST),Sakuntala Laguri,,BJD,434471,Ananta Nayak,,BJP,277154
2014,Odisha,5,Mayurbhanj,(ST),Rama Chandra Hansdah,,BJD,393779,Nepole Raghu Murmu,,BJP,270913
2014,Odisha,6,Balasore,GEN,Rabindra Kumar Jena,,BJD,433768,Pratap Chandra Sarangi,,BJP,291943
2014,Odisha,7,Bhadrak,(SC),Arjun Charan Sethi,,BJD,502338,Sangram Keshari Jena,,INC,322979
2014,Odisha,8,Jajpur,(SC),Rita Tarai,,BJD,541349,Asok Das,,INC,221078
2014,Odisha,9,Dhenkanal,GEN,Tathagata Satpathy,,BJD,453277,Rudra Narayan Pany,,BJP,315937
2014,Odisha,10,Bolangir,GEN,Kalikesh Narayan Singh Deo,,BJD,453519,Sangeeta Kumari Singh Deo,,BJP,349220
2014,Odisha,11,Kalahandi,GEN,Arka Keshari Deo,,BJD,370871,Pradipta Kumar Naik,,BJP,314524
2014,Odisha,12,Nabarangpur,(ST),Balabhadra Majhi,,BJD,373887,Pradeep Kumar Majhi,,INC,371845
2014,Odisha,13,Kandhamal,GEN,Pratyusha Rajeshwari Singh,,BJD,477529,Rudra Madhab Ray,,BJP,178661
2014,Odisha,14,Cuttack,GEN,Bhartruhari Mahatab,,BJD,526085,Aparajita Mohanty,,INC,219323
2014,Odisha,15,Kendrapara,GEN,Baijayant Panda,,BJD,601574,Dharanidhar Nayak,,INC,392466
2014,Odisha,16,Jagatsinghpur,(SC),Kulamani Samal,,BJD,624492,Bibhu Prasad Tarai,,INC,348098
2014,Odisha,17,Puri,GEN,Pinaki Misra,,BJD,523161,Sucharita Mohanty,,INC,259800
2014,Odisha,18,Bhubaneswar,GEN,Prasanna Kumar Patasani,,BJD,439252,Prithiviraj Harichandan,,BJP,249775
2014,Odisha,19,Aska,GEN,Ladu Kishore Swain,,BJD,541473,Srilokanath Ratha,,INC,229476
2014,Odisha,20,Berhampur,GEN,Sidhant Mohapatra,,BJD,398107,Chandra Sekhar Sahu,,INC,270387
2014,Odisha,21,Koraput,(ST),Jhina Hikaka,,BJD,395109,Giridhar Gamang,,INC,375781
2014,Puducherry,1,Puducherry,GEN,R. Radhakrishnan,,AINRC,255826,V. Narayanasamy,,INC,194972
2014,Punjab,1,Gurdaspur,GEN,Vinod Khanna,,BJP,482255,Partap Singh Bajwa,,INC,346190
2014,Punjab,2,Amritsar,GEN,Captain Amarinder Singh,,INC,482876,Arun Jaitley,,BJP,380106
2014,Punjab,3,Khadoor Sahib,GEN,Ranjit Singh Brahmpura,,SAD,467332,Harminder Singh Gill,,INC,366763
2014,Punjab,4,Jalandhar,(SC),Santokh Singh Chaudhary,,INC,380479,Pawan Kumar Tinu,,SAD,309498
2014,Punjab,5,Hoshiarpur,(SC),Vijay Sampla,,BJP,346643,Mohinder Singh Kaypee,,INC,333061
2014,Punjab,6,Anandpur Sahib,GEN,Prem Singh Chandumajra,,SAD,347394,Ambika Soni,,INC,323697
2014,Punjab,7,Ludhiana,GEN,Ravneet Singh Bittu,,INC,300459,Harvinder Singh Phoolka,,AAP,280750
2014,Punjab,8,Fatehgarh Sahib,(SC),Harinder Singh Khalsa,,AAP,367293,Sadhu Singh,,INC,313149
2014,Punjab,9,Faridkot,(SC),Prof. Sadhu Singh,,AAP,450751,Paramjit Kaur Gulshan,,SAD,278235
2014,Punjab,10,Ferozpur,GEN,Sher Singh Ghubaya,,SAD,487932,Sunil Jakhar,,INC,456512
2014,Punjab,11,Bathinda,GEN,Harsimrat Kaur Badal,,SAD,514727,Manpreet Singh Badal S/O Gurdas Singh,,INC,495332
2014,Punjab,12,Sangrur,GEN,Bhagwant Mann,,AAP,533237,Sukhdev Singh Dhindsa,,SAD,321516
2014,Punjab,13,Patiala,GEN,Dr. Dharam Vira Gandhi,,AAP,365671,Preneet Kaur,,INC,344729
2014,Rajasthan,1,Ganganagar,(SC),Nihalchand,,BJP,658130,Master Bhanwarlal Meghwal,,INC,366389
2014,Rajasthan,2,Bikaner,(SC),Arjun Ram Meghwal,,BJP,584932,Er. Shankar Pannu,,INC,276853
2014,Rajasthan,3,Churu,GEN,Rahul Kaswan,,BJP,595756,Abhinesh Maharshi,,BSP,301017
2014,Rajasthan,4,Jhunjhunu,GEN,Santosh Ahlawat,,BJP,488182,Raj Bala Ola,,INC,254347
2014,Rajasthan,5,Sikar,GEN,Sumedhanand Saraswati,,BJP,499428,Pratap Singh Jat,,INC,260232
2014,Rajasthan,6,Jaipur Rural,GEN,Rajyavardhan Singh Rathore,,BJP,632930,Dr. C.P. Joshi,,INC,300034
2014,Rajasthan,7,Jaipur,GEN,Ramcharan Bohara,,BJP,863358,Dr. Mahesh Joshi,,INC,324013
2014,Rajasthan,8,Alwar,GEN,Chand Nath,,BJP,642278,Bhanwar Jitendra Singh,,INC,358383
2014,Rajasthan,9,Bharatpur,(SC),Bahadur Singh,,BJP,579825,Dr.Suresh Jatav,,INC,334357
2014,Rajasthan,10,Karauli-Dholpur,(SC),Manoj Rajoria,,BJP,402407,Lakkhiram,,INC,375191
2014,Rajasthan,11,Dausa,(ST),Harish Chandra Meena,,BJP,315059,Dr. Kirodi Lal,,NPP,269655
2014,Rajasthan,12,Tonk-Sawai Madhopur,GEN,Sukhbir Singh Jaunapuria,,BJP,548179,Mohammed Azharuddin,,INC,412868
2014,Rajasthan,13,Ajmer,GEN,Sanwar Lal Jat,,BJP,637874,Sachin Pilot,,INC,465891
2014,Rajasthan,14,Nagaur,GEN,C R Choudhary,,BJP,414791,Dr Jyoti Mirdha,,INC,339573
2014,Rajasthan,15,Pali,GEN,P P Choudhary,,BJP,711772,Munni Devi Godara,,INC,312733
2014,Rajasthan,16,Jodhpur,GEN,Gajendrasingh Shekhawat,,BJP,713515,Chandresh Kumari,,INC,303464
2014,Rajasthan,17,Barmer,GEN,Col. Sona Ram,,BJP,488747,Jaswant Singh,,IND,401286
2014,Rajasthan,18,Jalore,(SC),Devji Patel,,BJP,580508,Anjana Udai Lal,,INC,199363
2014,Rajasthan,19,Udaipur,(ST),Arjunlal Meena,,BJP,660373,Raghuvir Singh,,INC,423611
2014,Rajasthan,20,Banswara,(ST),Manshankar Ninama,,BJP,577433,Resham Malviya,,INC,485517
2014,Rajasthan,21,Chittorgarh,GEN,Chandra Prakash Joshi,,BJP,703236,Girija Vyas,,INC,386379
2014,Rajasthan,22,Rajsamand,GEN,Hariom Singh Rathore,,BJP,644794,Gopal Singh Shekhawat,,INC,249089
2014,Rajasthan,23,Bhilwara,GEN,Subhash Baheria,,BJP,630317,Ashok Chandna,,INC,384053
2014,Rajasthan,24,Kota,GEN,Om Birla,,BJP,644822,Ijyaraj Singh,,INC,444040
2014,Rajasthan,25,Jhalawar-Baran,GEN,Dushyant Singh,,BJP,676102,Pramod Bhaya,,INC,394556
2014,Sikkim,1,Sikkim,GEN,Prem Das Rai,,SDF,163698,Tek Nath Dhakal,,SKM,121956
2014,Tamil Nadu,1,Tiruvallur,(SC),Venugopal.P.(Dr),,AIADMK,628499,Ravikumar.D,,VCK,305069
2014,Tamil Nadu,2,Chennai North,GEN,Venkatesh Babu .T.G,,AIADMK,406704,Girirajan .R,,DMK,307000
2014,Tamil Nadu,3,Chennai South,GEN,Dr. J. Jayavardhan,,AIADMK,438404,T.K.S.Elangovan,,DMK,301779
2014,Tamil Nadu,4,Chennai Central,GEN,S.R. Vijayakumar,,AIADMK,333296,Dayanidhi Maran,,DMK,287455
2014,Tamil Nadu,5,Sriperumbudur,GEN,"Ramachandran, K.N. Thiru",,AIADMK,545820,"Jagathrakshakan, S. Thiru",,DMK,443174
2014,Tamil Nadu,6,Kancheepuram,(SC),Maragatham K,,AIADMK,499395,Selvam G,,DMK,352529
2014,Tamil Nadu,7,Arakkonam,GEN,"Hari, G.",,AIADMK,493534,N.R Elango,,DMK,252768
2014,Tamil Nadu,8,Vellore,GEN,"Senguttuvan, B.",,AIADMK,383719,"Shanmugam, A.C.",,BJP,324326
2014,Tamil Nadu,9,Krishnagiri,GEN,Ashok Kumar.K,,AIADMK,480491,Chinna Pillappa.P,,DMK,273900
2014,Tamil Nadu,10,Dharmapuri,GEN,Anbumani Ramadoss,,PMK,468194,Mohan.P.S,,AIADMK,391048
2014,Tamil Nadu,11,Tiruvannamalai,GEN,Vanaroja R,,AIADMK,500751,Annadurai C N,,DMK,332145
2014,Tamil Nadu,12,Arani,GEN,V.Elumalai,,AIADMK,502721,R.Sivanandam,,DMK,258877
2014,Tamil Nadu,13,Viluppuram,(SC),Rajendran S,,AIADMK,482704,Muthaiyan K Dr,,DMK,289337
2014,Tamil Nadu,14,Kallakurichi,GEN,Kamaraj. K,,AIADMK,533383,Manimaran. R,,DMK,309876
2014,Tamil Nadu,15,Salem,GEN,Pannerselvam.V,,AIADMK,556546,Umarani. S,,DMK,288936
2014,Tamil Nadu,16,Namakkal,GEN,Sundaram P.R,,AIADMK,563272,Gandhiselvan.S,,DMK,268898
2014,Tamil Nadu,17,Erode,GEN,Selvakumara Chinnayan S,,AIADMK,466995,Ganeshamurthi.A,,MDMK,255432
2014,Tamil Nadu,18,Tiruppur,GEN,V.Sathyabama,,AIADMK,442778,N.Dineshkumar,,DMDK,263463
2014,Tamil Nadu,19,Nilgiris,(SC),"Gopalakrishnan, C.",,AIADMK,463700,"Raja, A.",,DMK,358760
2014,Tamil Nadu,20,Coimbatore,GEN,"Nagarajan, P.",,AIADMK,431717,"Radhakrishnan, C.P.",,BJP,389701
2014,Tamil Nadu,21,Pollachi,GEN,Mahendran.C,,AIADMK,417092,Eswaran.E.R.,,BJP,276118
2014,Tamil Nadu,22,Dindigul,GEN,Udhaya Kumar .M,,AIADMK,510462,Gandhirajan S,,DMK,382617
2014,Tamil Nadu,23,Karur,GEN,"Thambidurai,M.",,AIADMK,540722,"Chinnasamy, M.",,DMK,345475
2014,Tamil Nadu,24,Tiruchirappalli,GEN,Kumar.P,,AIADMK,458478,Anbhalagan.Mu,,DMK,308002
2014,Tamil Nadu,25,Perambalur,GEN,"Marutharajaa, R.P.",,AIADMK,462693,"Seemanur Prabu, S.",,DMK,249645
2014,Tamil Nadu,26,Cuddalore,GEN,Arunmozhithevan.A,,AIADMK,481429,Nandagopalakrishnan.K.,,DMK,278304
2014,Tamil Nadu,27,Chidambaram,(SC),"Chandrakasi, M",,AIADMK,429536,"Thirumaavalavan, Thol",,VCK,301041
2014,Tamil Nadu,28,Mayiladuthurai,GEN,Bharathi Mohan R.K,,AIADMK,513729,Hyder Ali.S,,MAMAK,236679
2014,Tamil Nadu,29,Nagapattinam,(SC),Gopal. Dr. K,,AIADMK,434174,Vijayan. A.K.S,,DMK,328095
2014,Tamil Nadu,30,Thanjavur,GEN,Parasuraman.K,,AIADMK,510307,Baalu.T.R,,DMK,366188
2014,Tamil Nadu,31,Sivaganga,GEN,Senthilnathan Pr,,AIADMK,475993,Dhurai Raaj Subha,,DMK,246608
2014,Tamil Nadu,32,Madurai,GEN,R.Gopalakrishnan,,AIADMK,454167,V Velusamy,,DMK,256731
2014,Tamil Nadu,33,Theni,GEN,"Parthipan, R.",,AIADMK,571254,Pon. Muthuramalingam,,DMK,256722
2014,Tamil Nadu,34,Virudhunagar,GEN,Radhakrishnan T,,AIADMK,406694,Vaiko,,MDMK,261143
2014,Tamil Nadu,35,Ramanathapuram,GEN,Anwhar Raajhaa.A,,AIADMK,405945,Mohamed Jaleel .S,,DMK,286621
2014,Tamil Nadu,36,Thoothukkudi,GEN,Jeyasingh Thiyagaraj Natterjee.J,,AIADMK,366052,Jegan. P,,DMK,242050
2014,Tamil Nadu,37,Tenkasi,(SC),Vasanthi.M,,AIADMK,424586,Dr.Krishnasamy.K.,,PT,262812
2014,Tamil Nadu,38,Tirunelveli,GEN,Prabakaran.K.R.P,,AIADMK,398139,Devadasa Sundaram,,DMK,272040
2014,Tamil Nadu,39,Kanniyakumari,GEN,Radhakrishnan P.,,BJP,372906,Vasantha Kumar H.,,INC,244244
2014,Telangana,1,Adilabad,(ST),Godam Nagesh,,TRS,430847,Naresh,,INC,259557
2014,Telangana,2,Peddapalli,(SC),Balka Suman,,TRS,565496,G. Vivekanand,,INC,274338
2014,Telangana,3,Karimnagar,GEN,Vinod Kumar Boinapally,,TRS,505783,Ponnam Prabhakar,,INC,300706
2014,Telangana,4,Nizamabad,GEN,Kalvakuntla Kavitha,,TRS,439307,Madhu Yaskhi Goud,,INC,272123
2014,Telangana,5,Zahirabad,GEN,B.B. Patil,,TRS,508661,Suresh Kumar Shetkar,,INC,364030
2014,Telangana,6,Medak,GEN,Kotha Prabhakar Reddy,,TRS,571800,V Sunita Laxma Reddy,,INC,210523
2014,Telangana,7,Malkajgiri,GEN,Ch.Malla Reddy,,TDP,523336,Hanumanth Rao Mynampally,,TRS,494965
2014,Telangana,8,Secunderabad,GEN,Bandaru Dattatreya,,BJP,438271,M.Anjan Kumar Yadav,,INC,183536
2014,Telangana,9,Hyderabad,GEN,Asaduddin Owaisi,,AIMIM,513868,Dr.Bhagavanth Rao,,BJP,311414
2014,Telangana,10,Chelvella,GEN,Konda Vishweshwar Reddy,,TRS,435077,Patlolla Kartik Reddy,,INC,362054
2014,Telangana,11,Mahabubnagar,GEN,Ap Jithender Reddy,,TRS,334228,Jaipal Reddy Sudini,,INC,331638
2014,Telangana,12,Nagarkurnool,(SC),Yellaiah Nandi,,INC,420075,Dr. Manda Jagannath,,TRS,403399
2014,Telangana,13,Nalgonda,GEN,Gutha Sukhender Reddy,,INC,472093,Tera Chinnapa Reddy,,TDP,278937
2014,Telangana,14,Bhongir,GEN,Dr. Boora Narsaiah Goud,,TRS,448245,Komatireddy Rajgopal Reddy,,INC,417751
2014,Telangana,15,Warangal,(SC),Kadiyam Srihari,,TRS,661639,Rajaiah Siricilla,,INC,269065
2014,Telangana,16,Mahabubabad,(ST),Prof. Azmeera Seetaram Naik,,TRS,320569,P. Balram,,INC,285577
2014,Telangana,17,Khammam,GEN,Ponguleti Srinivasa Reddy,,YSRC,421957,Nama Nageswara Rao,,TDP,409983
2014,Tripura,1,Tripura West,GEN,Sankar Prasad Datta,,CPM,671665,Arunoday Saha,,INC,168179
2014,Tripura,2,Tripura East,(ST),Jitendera Choudhury,,CPM,623771,Sachitra Debbarma,,INC,139413
2014,Uttar Pradesh,1,Saharanpur,GEN,Raghav Lakhanpal,,BJP,472999,Imran Masood,,INC,407909
2014,Uttar Pradesh,2,Kairana,GEN,Hukum Singh,,BJP,565909,Nahid Hasan,,SP,329081
2014,Uttar Pradesh,3,Muzaffarnagar,GEN,(Dr.) Sanjeev Kumar Balyan,,BJP,653391,Kadir Rana,,BSP,252241
2014,Uttar Pradesh,4,Bijnor,GEN,Kunwar Bhartendra,,BJP,486913,Shahnawaz Rana,,SP,281139
2014,Uttar Pradesh,5,Nagina,(SC),Yashwant Singh,,BJP,367825,Yashvir Singh,,SP,275435
2014,Uttar Pradesh,6,Moradabad,GEN,Kunwer Sarvesh Kumar,,BJP,485224,Dr S T Hasan,,SP,397720
2014,Uttar Pradesh,7,Rampur,GEN,Dr. Nepal Singh,,BJP,358616,Naseer Ahmad Khan,,SP,335181
2014,Uttar Pradesh,8,Sambhal,GEN,Satyapal Singh,,BJP,360242,Dr Shafiq Ur Rahman Barq,,SP,355068
2014,Uttar Pradesh,9,Amroha,GEN,Kanwar Singh Tanwar,,BJP,528880,Humera Akhtar,,SP,370666
2014,Uttar Pradesh,10,Meerut,GEN,Rajendra Agarwal,,BJP,532981,Mohd.Shahid Akhlak,,BSP,300655
2014,Uttar Pradesh,11,Baghpat,GEN,Dr. Satya Pal Singh,,BJP,423475,Ghulam Mohammed,,SP,213609
2014,Uttar Pradesh,12,Ghaziabad,GEN,Vijay Kumar Singh,,BJP,758482,Raj Babbar,,INC,191222
2014,Uttar Pradesh,13,Gautam Buddha Nagar,GEN,Dr.Mahesh Sharma,,BJP,599702,Narendra Bhati,,SP,319490
2014,Uttar Pradesh,14,Bulandshahr,(SC),Bhola Singh,,BJP,604449,Pradeep Kumar Jatav,,BSP,182476
2014,Uttar Pradesh,15,Aligarh,GEN,Satish Kumar,,BJP,514622,Dr. Arvind Kumar Singh,,BSP,227886
2014,Uttar Pradesh,16,Hathras,(SC),Rajesh Kumar Diwaker,,BJP,544277,Manoj Kumar Soni,,BSP,217891
2014,Uttar Pradesh,17,Mathura,GEN,Hema Malini Dharmendra,,BJP,574633,Jayant Chaudhary,,RLD,243890
2014,Uttar Pradesh,18,Agra,(SC),Dr. Ram Shankar Katheria,,BJP,583716,Narayan Singh Suman,,BSP,283453
2014,Uttar Pradesh,19,Fatehpur Sikri,GEN,Babulal,,BJP,426589,Seema Upadhyay,,BSP,253483
2014,Uttar Pradesh,20,Firozabad,GEN,Akshay Yadav,,SP,534583,Prof. S.P. Singh Baghel,,BJP,420524
2014,Uttar Pradesh,21,Mainpuri,GEN,Tej Pratap Singh Yadav,,SP,653686,Prem Singh Shakya,,BJP,332537
2014,Uttar Pradesh,22,Etah,GEN,Rajveer Singh (Raju Bhaiya),,BJP,474978,Ku. Devendra Singh Yadav,,SP,273977
2014,Uttar Pradesh,23,Badaun,GEN,Dharmendra Yadav,,SP,498378,Vagish Pathak,,BJP,332031
